text,label
Buy Bose Laptop (Active Noise Cancelling),Electronics
CeraVe Eye Shadow Palette - Fragrance-Free,Beauty
"High-Quality Adidas Hoodie, Athletic Performance Fit",Clothing
Classic Liquid Lipstick: Dove release featuring 24-Hour Long Lasting,Beauty
LG Original Gaming Mouse - 120Hz OLED Display - Must-Have Choice,Electronics
Puma Original Polo Shirt - Athletic Performance Fit - Exclusive Choice,Clothing
Exclusive Face Wash: Fenty Beauty release featuring 24-Hour Long Lasting,Beauty
Luxury Sci-Fi Novel: Vintage release featuring Mass Market Paperback,Books
"Buy Asus Smartwatch (16GB RAM, 512GB NVMe SSD)",Electronics
"Affordable KitchenAid Table Lamp, Smart LED Compatible",Home
"Must-Have Simon & Schuster Textbook, Pulitzer Prize Winning",Books
HP Original Monitor - Ultra-Slim Design - Top-Rated Choice,Electronics
Tupperware Table Lamp - Dishwasher Safe,Home
Olay Perfume - 24-Hour Long Lasting,Beauty
"Anker Smartphone - 16GB RAM, 512GB NVMe SSD",Electronics
Bluetooth Speaker by Asus | 4K Ultra HD | Durable,Electronics
Asus Bestselling Smartwatch with Fast Charging support,Electronics
"Classic Scholastic Novel, Mass Market Paperback",Books
Acer Bluetooth Speaker - 30-hour battery life,Electronics
Programming Guide by Macmillan | Fully Illustrated | Elegant,Books
Vacuum Cleaner by Whirlpool | True HEPA Filter | Must-Have,Home
Buy Vintage Self-Help Book (Pulitzer Prize Winning),Books
Penguin Bestselling Biography with Fully Illustrated,Books
The Affordable Philips Coffee Maker (Quiet Operation),Home
Mechanical Keyboard by HP | 120Hz OLED Display | Bestselling,Electronics
Buy Samsung Power Bank (128GB Storage),Electronics
The High-Quality HarperCollins Historical Fiction (Hardcover Edition),Books
Coffee Maker by Breville | Premium Stainless Steel | Modern,Home
"Must-Have Bose Smartphone, Ultra-Slim Design",Electronics
"Luxury Calvin Klein Jacket, Vintage Wash",Clothing
Vintage Exclusive Sci-Fi Novel with Hardcover Edition,Books
Maybelline Original Body Lotion - 24-Hour Long Lasting - Durable Choice,Beauty
