text,label
Buy Macmillan Historical Fiction (Fully Illustrated),Books
Maybelline Original Perfume - Intensely Hydrating - High-Quality Choice,Beauty
Penguin Must-Have Textbook with Pulitzer Prize Winning,Books
Microwave Oven by Whirlpool | Ergonomic Lumbar Support | Elegant,Home
Gaming Mouse by HP | 4K Ultra HD | Exclusive,Electronics
The Durable Clinique Mascara (Intensely Hydrating),Beauty
Calvin Klein Original Chinos - Slim Fit - Must-Have Choice,Clothing
Simon & Schuster Original Textbook - Special Collector's Edition - Durable Choice,Books
Breville Robot Vacuum - Ergonomic Lumbar Support,Home
Ninja Luxury Blender with Smart LED Compatible,Home
Buy Dove Eye Shadow Palette (Intensely Hydrating),Beauty
The Must-Have Ralph Lauren T-Shirt (Wrinkle-Free),Clothing
Calvin Klein Jeans - Fleece Lined,Clothing
Buy Ralph Lauren Polo Shirt (Breathable Mesh),Clothing
Bosch High-Quality Vacuum Cleaner with True HEPA Filter,Home
"Durable Eufy Robot Vacuum, Egyptian Cotton King Size",Home
Body Lotion by Estee Lauder | Dermatologist Tested For Sensitive Skin | Premium,Beauty
"Luxury Penguin Poetry Collection, Special Collector's Edition",Books
Dove Face Wash - Matte Finish,Beauty
Tablet by HP | 30-hour battery life | Classic,Electronics
"Asus Original Smart TV - 16GB RAM, 512GB NVMe SSD - Premium Choice",Electronics
Track Pants by Zara | Slim Fit | Elegant,Clothing
Simon & Schuster Original Mystery Thriller - Mass Market Paperback - Bestselling Choice,Books
Elegant Cookbook: O'Reilly release featuring Revised and Updated Edition,Books
The Bestselling Bosch Table Lamp (Egyptian Cotton King Size),Home
"Modern Ralph Lauren Track Pants, Fleece Lined",Clothing
Must-Have Smartphone: Asus release featuring 128GB Storage,Electronics
The Must-Have Eufy Table Lamp (Ceramic Non-Stick),Home
Adidas Elegant Dress with Breathable Mesh,Clothing
Buy The Ordinary Shampoo (Dermatologist Tested For Sensitive Skin),Beauty
Shorts by Levi's | Fleece Lined | High-Quality,Clothing
Scholastic Biography - Revised and Updated Edition,Books
Dyson Blender - True HEPA Filter,Home
Bosch Original Air Purifier - True HEPA Filter - Modern Choice,Home
Under Armour Classic Sneakers with Wrinkle-Free,Clothing
Body Lotion by Olay | Broad Spectrum SPF 50 | Bestselling,Beauty
"Top-Rated Neutrogena Moisturizer, Infused with Hyaluronic Acid",Beauty
The Durable Fenty Beauty Vitamin C Serum (Intensely Hydrating),Beauty
Buy NARS Liquid Lipstick (Anti-Aging Formula),Beauty
The Elegant Vans Jeans (Water Resistant),Clothing
Breville Elegant Cookware Set with Smart LED Compatible,Home
Samsung Wireless Headphones - 4K Ultra HD,Electronics
The Affordable CeraVe Moisturizer (Anti-Aging Formula),Beauty
Table Lamp by Dyson | Energy Efficient Rating | Affordable,Home
Buy Tommy Hilfiger Hoodie (Slim Fit),Clothing
H&M Elegant Hoodie with Fleece Lined,Clothing
Vitamin C Serum by L'Oreal | Dermatologist Tested For Sensitive Skin | Luxury,Beauty
Bestselling Polo Shirt: Under Armour release featuring Athletic Performance Fit,Clothing
Scholastic Original Self-Help Book - Pulitzer Prize Winning - Bestselling Choice,Books
Tommy Hilfiger Sneakers - Wrinkle-Free,Clothing
Bosch Office Chair - Dishwasher Safe,Home
Programming Guide by Simon & Schuster | Audiobook Narration Included | Durable,Books
Philips High-Quality Air Purifier with Ergonomic Lumbar Support,Home
Scholastic Cookbook - Special Collector's Edition,Books
Lenovo Exclusive Smart TV with 128GB Storage,Electronics
Buy Tommy Hilfiger T-Shirt (Fleece Lined),Clothing
Buy Puma Jeans (Slim Fit),Clothing
Bestselling Vitamin C Serum: The Ordinary release featuring Matte Finish,Beauty
Tupperware Bestselling Bed Sheets with Premium Stainless Steel,Home
The Durable LG Smart TV (Fast Charging support),Electronics
Mechanical Keyboard by Bose | Wi-Fi 6 Enabled | Luxury,Electronics
Cuisinart Affordable Cookware Set with True HEPA Filter,Home
